Time,Period,TWS,TWA,BSP,TWD,Targ Twa,Targ Bsp,PolBsp,Heel,SOG,HDG,COG,Leeway,Rudder,RudderP,RudderS,Tab,Rake,KeelAng,Trim,Forestay,AWA,AWS,PolBsp%,VMG%,dBspSog,dHdgCog,User 0,User 1,User 2,User 3,User 4,User 5,User 6,User 7
27-Sep-2025 10:22:48,0:26,6.2,-126,0.00,257,138,6.70,7.60,-0.7,0.02,025,169,0.0,-11.0,,,8.0,3.20,,2.4,0.14,-126,6.2,0.0,0.0,-0.02,-144.4,,,,,,,,
27-Sep-2025 10:24:36,0:26,4.9,-133,0.00,276,133,5.55,5.36,-0.0,0.02,068,200,0.0,-11.0,,,8.0,3.20,,2.6,0.59,-135,4.6,0.0,0.0,-0.02,-132.3,,,,,,,,
27-Sep-2025 10:30:46,0:21,4.7,-135,0.00,066,133,5.45,5.07,0.8,0.02,197,201,0.0,-11.0,,,8.0,3.20,,2.6,2.05,-133,4.4,0.0,0.0,-0.02,-4.5,,,,,,,,
27-Sep-2025 10:31:28,0:27,5.4,-149,0.00,048,135,6.01,4.60,0.8,0.03,197,182,0.0,-11.0,,,8.0,3.20,,2.7,0.37,-149,5.3,0.0,0.0,-0.03,14.6,,,,,,,,
27-Sep-2025 10:32:37,0:28,7.1,-143,0.00,055,140,7.29,6.85,-0.6,0.02,197,204,0.0,-11.0,,,8.0,3.20,,2.5,0.33,-142,7.1,0.0,0.0,-0.02,-7.2,,,,,,,,
27-Sep-2025 10:33:06,0:25,5.5,-132,0.00,062,135,6.09,6.34,-0.5,0.02,197,176,0.0,-11.0,,,8.0,3.20,,2.6,0.61,-133,5.7,0.0,0.0,-0.02,21.3,,,,,,,,
27-Sep-2025 10:34:13,0:29,6.1,-151,0.00,047,137,6.58,5.12,-0.5,0.02,197,192,0.0,-11.1,,,8.0,3.20,,2.6,0.88,-150,6.1,0.0,0.0,-0.02,4.6,,,,,,,,
27-Sep-2025 10:34:43,0:21,5.5,-147,0.00,048,135,6.09,4.83,-0.6,0.01,197,173,0.0,-11.1,,,8.0,3.20,,2.6,0.90,-148,5.4,0.0,0.0,-0.01,23.7,,,,,,,,
27-Sep-2025 10:35:05,0:20,6.0,-140,0.00,054,137,6.52,6.13,-0.8,0.02,197,191,0.0,-11.0,,,8.0,3.20,,2.6,0.84,-142,6.2,0.0,0.0,-0.02,6.1,,,,,,,,
27-Sep-2025 10:38:03,0:28,6.2,-141,0.00,052,138,6.63,6.13,0.0,0.02,197,159,0.0,-11.1,,,8.0,3.20,,2.7,0.80,-143,6.1,0.0,0.0,-0.02,37.2,,,,,,,,
